"covid","cardiopatia+isquemica","accidente+cerebrovascular","enfermedad+pulmonar+obstructica+cronica","infecciones+vias+respiratorias+inferiores","afecciones+neonatales","cancer+traquea","cancer+bronquios","cancer+pulmon","alzheimer","enfermedad+diarreica","diabetes+melitus","nefropatia"
"Aproximadamente 320.000.000 resultados (0,35 segundos) ","Aproximadamente 799 resultados (0,29 segundos) ","Aproximadamente 12.200 resultados (0,41 segundos) ","Aproximadamente 1.010 resultados (0,38 segundos) ","Aproximadamente 2.240 resultados (0,41 segundos) ","Aproximadamente 13.100 resultados (0,36 segundos) ","Aproximadamente 435 resultados (0,35 segundos) ","Aproximadamente 1.090 resultados (0,39 segundos) ","Aproximadamente 6.140 resultados (0,43 segundos) ","Aproximadamente 3.540.000 resultados (0,39 segundos) ","Aproximadamente 1.220 resultados (0,30 segundos) ","Aproximadamente 204.000 resultados (0,34 segundos) ","Aproximadamente 4.370 resultados (0,34 segundos) "
"Aproximadamente 149.000.000 resultados (0,43 segundos) ","Aproximadamente 570 resultados (0,51 segundos) ","Aproximadamente 6.050 resultados (0,36 segundos) ","Aproximadamente 615 resultados (0,62 segundos) ","Aproximadamente 1.200 resultados (0,40 segundos) ","Aproximadamente 6.980 resultados (0,39 segundos) ","Aproximadamente 237 resultados (0,33 segundos) ","Aproximadamente 527 resultados (0,40 segundos) ","Aproximadamente 3.190 resultados (0,38 segundos) ","Aproximadamente 256.000 resultados (0,41 segundos) ","Aproximadamente 625 resultados (0,36 segundos) ","Aproximadamente 105.000 resultados (0,48 segundos) ","Aproximadamente 2.310 resultados (0,29 segundos) "
"Aproximadamente 315.000.000 resultados (0,44 segundos) ","Aproximadamente 845 resultados (0,29 segundos) ","Aproximadamente 16.400 resultados (0,39 segundos) ","Aproximadamente 1.200 resultados (0,43 segundos) ","Aproximadamente 2.210 resultados (0,44 segundos) ","Aproximadamente 13.600 resultados (0,39 segundos) ","Aproximadamente 484 resultados (0,35 segundos) ","Aproximadamente 1.410 resultados (0,36 segundos) ","Aproximadamente 6.430 resultados (0,44 segundos) ","Aproximadamente 4.520.000 resultados (0,51 segundos) ","Aproximadamente 1.410 resultados (0,30 segundos) ","Aproximadamente 219.000 resultados (0,35 segundos) ","Aproximadamente 4.350 resultados (0,39 segundos) "
"Aproximadamente 408.000.000 resultados (0,44 segundos) ","Aproximadamente 543 resultados (0,29 segundos) ","Aproximadamente 14.800 resultados (0,38 segundos) ","Aproximadamente 1.130 resultados (0,42 segundos) ","Aproximadamente 2.050 resultados (0,40 segundos) ","Aproximadamente 14.600 resultados (0,42 segundos) ","Aproximadamente 479 resultados (0,30 segundos) ","Aproximadamente 1.400 resultados (0,39 segundos) ","Aproximadamente 6.310 resultados (0,37 segundos) ","Aproximadamente 4.630.000 resultados (0,41 segundos) ","Aproximadamente 1.410 resultados (0,29 segundos) ","Aproximadamente 215.000 resultados (0,41 segundos) ","Aproximadamente 4.200 resultados (0,35 segundos) "
"Aproximadamente 436.000.000 resultados (0,66 segundos) ","Aproximadamente 502 resultados (0,28 segundos) ","Aproximadamente 12.200 resultados (0,39 segundos) ","Aproximadamente 1.180 resultados (0,44 segundos) ","Aproximadamente 2.370 resultados (0,36 segundos) ","Aproximadamente 14.700 resultados (0,36 segundos) ","Aproximadamente 471 resultados (0,31 segundos) ","Aproximadamente 1.420 resultados (0,61 segundos) ","Aproximadamente 6.640 resultados (0,43 segundos) ","Aproximadamente 4.600.000 resultados (0,41 segundos) ","Aproximadamente 1.460 resultados (0,33 segundos) ","Aproximadamente 214.000 resultados (0,42 segundos) ","Aproximadamente 4.210 resultados (0,36 segundos) "
"Aproximadamente 224.000.000 resultados (0,45 segundos) ","Aproximadamente 319 resultados (0,26 segundos) ","Aproximadamente 6.530 resultados (0,39 segundos) ","Aproximadamente 752 resultados (0,45 segundos) ","Aproximadamente 1.430 resultados (0,38 segundos) ","Aproximadamente 8.260 resultados (0,41 segundos) ","Aproximadamente 219 resultados (0,30 segundos) ","Aproximadamente 848 resultados (0,34 segundos) ","Aproximadamente 3.640 resultados (0,68 segundos) ","Aproximadamente 292.000 resultados (0,39 segundos) ","Aproximadamente 779 resultados (0,37 segundos) ","Aproximadamente 113.000 resultados (0,38 segundos) ","Aproximadamente 2.200 resultados (0,34 segundos) "
"Aproximadamente 386.000.000 resultados (0,52 segundos) ","Aproximadamente 584 resultados (0,33 segundos) ","Aproximadamente 13.700 resultados (0,36 segundos) ","Aproximadamente 1.980 resultados (0,43 segundos) ","Aproximadamente 3.250 resultados (0,37 segundos) ","Aproximadamente 20.000 resultados (0,34 segundos) ","Aproximadamente 513 resultados (0,35 segundos) ","Aproximadamente 1.720 resultados (0,38 segundos) ","Aproximadamente 7.360 resultados (0,44 segundos) ","Aproximadamente 4.480.000 resultados (0,57 segundos) ","Aproximadamente 1.390 resultados (0,42 segundos) ","Aproximadamente 239.000 resultados (0,70 segundos) ","Aproximadamente 4.580 resultados (0,30 segundos) "
"Aproximadamente 439.000.000 resultados (0,60 segundos) ","Aproximadamente 669 resultados (0,30 segundos) ","Aproximadamente 18.300 resultados (0,37 segundos) ","Aproximadamente 2.330 resultados (0,58 segundos) ","Aproximadamente 3.460 resultados (0,34 segundos) ","Aproximadamente 20.900 resultados (0,39 segundos) ","Aproximadamente 516 resultados (0,36 segundos) ","Aproximadamente 1.820 resultados (0,58 segundos) ","Aproximadamente 7.470 resultados (0,48 segundos) ","Aproximadamente 6.040.000 resultados (0,39 segundos) ","Aproximadamente 1.300 resultados (0,30 segundos) ","Aproximadamente 257.000 resultados (0,38 segundos) ","Aproximadamente 4.780 resultados (0,37 segundos) "
"Aproximadamente 232.000.000 resultados (0,48 segundos) ","Aproximadamente 280 resultados (0,32 segundos) ","Aproximadamente 11.200 resultados (0,38 segundos) ","Aproximadamente 1.070 resultados (0,36 segundos) ","Aproximadamente 1.640 resultados (0,36 segundos) ","Aproximadamente 9.610 resultados (0,63 segundos) ","Aproximadamente 237 resultados (0,33 segundos) ","Aproximadamente 906 resultados (0,40 segundos) ","Aproximadamente 3.750 resultados (0,63 segundos) ","Aproximadamente 348.000 resultados (0,43 segundos) ","Aproximadamente 800 resultados (0,28 segundos) ","Aproximadamente 133.000 resultados (0,49 segundos) ","Aproximadamente 2.180 resultados (0,34 segundos) "
